Animal Type,Animal Name,Speed_kmh,Weight_kg,Continent,Country,Lifespan,Migration,Reproduction,Threat Level
Fish,Snapper,57,354,Australia,China,97,Yes,Live,High
Fish,Catfish,35,467,Asia,Germany,16,Yes,Eggs,Medium
Fish,Sturgeon,80,428,Europe,USA,65,Yes,Live,Medium
Insect,Scorpion,97,248,America,Egypt,17,Yes,Live,Critical
Fish,Trout,117,467,Australia,USA,37,Yes,Live,Medium
Mammal,Sloth,109,427,Europe,Russia,60,No,Live,Critical
Fish,Salmon,64,29,Africa,India,7,No,Eggs,Low
Reptile,Alligator,24,99,Asia,USA,97,Yes,Eggs,Critical
Reptile,Viper,77,431,Asia,Australia,20,Yes,Eggs,Critical
Fish,Catfish,69,331,Asia,India,4,Yes,Live,Critical
Mammal,PolarBear,48,26,Africa,Kenya,85,No,Eggs,Critical
Bird,Pigeon,42,360,Asia,Canada,29,No,Eggs,Medium
Insect,Termite,83,209,America,India,41,No,Eggs,Critical
Bird,Pigeon,44,485,Australia,Germany,74,No,Live,Medium
Mammal,Koala,72,371,Asia,China,6,No,Eggs,Medium
Insect,Wasp,43,388,Asia,Russia,81,Yes,Live,Low
Bird,Hawk,85,28,Asia,Canada,68,Yes,Live,Medium
Mammal,Tiger,15,115,Asia,Canada,66,No,Live,Critical
Bird,Seagull,94,300,Europe,Germany,29,No,Eggs,High
Bird,Falcon,7,45,Australia,Germany,37,No,Live,Low
Bird,Peafowl,49,347,America,USA,41,Yes,Live,High
Bird,Owl,65,170,America,Germany,97,No,Eggs,Low
Insect,Grasshopper,89,317,Europe,Egypt,24,Yes,Live,High
Fish,Swordfish,105,143,Australia,Australia,37,No,Live,High
Bird,Woodpecker,74,390,Asia,India,83,Yes,Eggs,Low
Fish,Barracuda,6,491,Africa,Australia,40,No,Eggs,Low
Fish,Catfish,74,169,America,Egypt,91,Yes,Eggs,Low
Reptile,Gecko,6,81,Australia,Kenya,88,Yes,Live,Medium
Bird,Peafowl,23,413,Africa,Germany,69,No,Eggs,Critical
Bird,Falcon,84,165,Europe,China,9,No,Live,Medium
Bird,Peacock,29,414,Australia,Australia,80,No,Live,Critical
Bird,Falcon,35,437,Asia,Canada,42,Yes,Eggs,Critical
Mammal,Rhino,41,88,Australia,Canada,5,No,Live,Low
Bird,Sparrow,63,159,Africa,Germany,60,No,Live,Low
Insect,Moth,10,337,Africa,Kenya,67,Yes,Eggs,Low
Insect,Flea,69,232,Australia,USA,81,No,Eggs,Low
Insect,Ladybug,91,52,America,Canada,88,Yes,Eggs,Low
Fish,Tilapia,94,358,Asia,Australia,42,No,Live,Critical
Insect,Scorpion,63,137,Europe,Kenya,92,Yes,Live,Low
Insect,Bee,31,358,Africa,Egypt,5,Yes,Live,High
Insect,Caterpillar,113,74,Asia,China,35,No,Live,Medium
Insect,Moth,118,107,America,Kenya,37,Yes,Eggs,Medium
Fish,Barracuda,59,222,Africa,USA,39,Yes,Eggs,Medium
Reptile,Turtle,84,24,Europe,Russia,9,Yes,Live,Medium
Fish,Carp,22,400,America,Canada,49,No,Live,Medium
Mammal,Zebra,77,167,Europe,Germany,28,No,Live,Low
Fish,Cod,98,390,Australia,China,24,Yes,Live,High
Fish,Tilapia,69,450,Australia,Canada,46,Yes,Eggs,High
Bird,Turkey,28,417,Africa,Australia,84,Yes,Live,Critical
Insect,Tick,80,338,Asia,Russia,48,Yes,Eggs,Critical
Reptile,Gecko,49,141,Europe,India,4,Yes,Eggs,Critical
Insect,Flea,57,490,Australia,Kenya,42,Yes,Live,Medium
Fish,Barracuda,106,144,Africa,India,74,No,Eggs,Low
Reptile,Python,37,455,Africa,Canada,30,Yes,Eggs,Medium
Fish,Swordfish,94,359,Asia,USA,42,No,Live,Medium
Mammal,Kangaroo,34,49,Europe,Russia,32,Yes,Eggs,Low
Fish,Tuna,15,79,Africa,Brazil,57,No,Live,Low
Mammal,Zebra,75,478,Africa,Australia,14,No,Eggs,Critical
Bird,Eagle,35,248,Africa,Egypt,56,Yes,Eggs,Low
Mammal,Lion,75,277,Europe,Russia,45,No,Eggs,Medium
Reptile,Gecko,111,448,Asia,Egypt,47,Yes,Live,Medium
Mammal,Zebra,107,463,Australia,Brazil,35,No,Live,High
Fish,Cod,106,175,Australia,China,51,Yes,Live,Medium
Insect,Ladybug,22,442,Asia,Egypt,31,Yes,Live,Critical
Bird,Sparrow,111,176,America,Canada,74,No,Eggs,Low
Bird,Vulture,110,166,Australia,Canada,38,Yes,Eggs,High
Bird,Pelican,113,365,Africa,Russia,14,No,Eggs,Critical
Insect,Dragonfly,103,385,Europe,USA,18,Yes,Live,High
Mammal,Panda,111,228,Europe,India,35,No,Live,Medium
Mammal,Panda,46,37,America,Brazil,67,Yes,Eggs,Low
Bird,Falcon,23,377,America,Canada,18,Yes,Live,High
Fish,Herring,108,216,Asia,Australia,89,No,Eggs,Low
Fish,Pike,55,282,Europe,Australia,54,No,Eggs,Critical
Insect,Dragonfly,46,146,America,Australia,59,No,Live,Critical
Reptile,MonitorLizard,46,347,Australia,Kenya,25,No,Eggs,Critical
Mammal,Jaguar,1,151,Australia,Canada,18,Yes,Live,Critical
Insect,Moth,110,165,America,China,45,No,Live,Medium
Mammal,Monkey,67,359,America,China,32,Yes,Eggs,Medium
Insect,Firefly,28,392,Asia,Germany,78,No,Eggs,Medium
Insect,Firefly,43,126,Europe,Brazil,68,Yes,Live,Critical
Reptile,Alligator,44,349,Australia,Canada,2,No,Live,Critical
Bird,Pelican,33,357,Australia,Kenya,78,Yes,Eggs,Critical
Bird,Peacock,43,447,Africa,Germany,24,Yes,Live,Critical
Bird,Duck,90,484,Asia,Canada,12,No,Live,Medium
Bird,Falcon,79,250,Australia,USA,50,Yes,Eggs,Medium
Reptile,Rattlesnake,60,136,Africa,Russia,58,Yes,Live,Medium
Insect,Moth,28,12,Asia,Russia,95,Yes,Live,Critical
Bird,Goose,119,104,Europe,Australia,42,No,Live,Medium
Fish,Guppy,95,112,Africa,Germany,39,No,Eggs,Medium
Mammal,Deer,81,2,Australia,Egypt,33,No,Live,Critical
Mammal,Rhino,61,320,America,China,61,No,Live,High
Insect,Cockroach,47,372,Europe,Germany,81,Yes,Live,Medium
Fish,Anchovy,62,217,Europe,USA,15,Yes,Eggs,Critical
Reptile,Cobra,51,89,Europe,USA,23,No,Live,High
Reptile,Chameleon,85,435,Africa,Canada,17,Yes,Eggs,Low
Fish,Bass,98,190,Africa,Brazil,68,Yes,Live,Medium
Insect,Bee,70,237,Asia,India,48,No,Eggs,Low
Fish,Herring,66,279,America,Brazil,42,No,Live,Low
Fish,Salmon,34,437,Asia,Egypt,37,No,Live,Critical
Bird,Penguin,117,423,Africa,USA,49,Yes,Live,High
Fish,Guppy,59,307,Australia,Germany,54,Yes,Live,Critical
Insect,Moth,65,46,Australia,Russia,78,Yes,Live,Medium
Fish,Cod,103,424,Africa,Egypt,82,Yes,Eggs,Low
Mammal,Bison,75,52,Australia,China,52,Yes,Live,Critical
Fish,Carp,7,84,Australia,Germany,81,No,Eggs,Medium
Fish,Guppy,118,41,America,Australia,55,Yes,Eggs,Medium
Insect,Moth,50,164,Africa,USA,55,No,Live,Critical
Insect,Beetle,27,288,America,Australia,42,No,Live,Medium
Insect,Butterfly,27,468,Africa,India,59,Yes,Live,Critical
Bird,Pigeon,114,20,Australia,Russia,79,No,Eggs,High
Fish,Tilapia,42,294,Australia,USA,74,Yes,Live,High
Fish,Trout,81,413,Africa,USA,98,No,Eggs,Low
Fish,Catfish,6,159,Asia,China,59,No,Live,Critical
Bird,Turkey,18,116,Africa,Australia,58,Yes,Live,Low
Mammal,Giraffe,7,443,Europe,Kenya,80,Yes,Eggs,Low
Bird,Vulture,73,15,Australia,Germany,72,No,Live,Low
Mammal,Horse,84,98,Europe,China,24,Yes,Eggs,High
Reptile,Rattlesnake,40,79,Europe,Russia,65,No,Eggs,Low
Insect,Cricket,116,495,Australia,Germany,91,Yes,Live,Critical
Mammal,Deer,2,464,Europe,China,97,Yes,Live,High
Mammal,Elephant,8,114,America,China,76,Yes,Live,High
Insect,Housefly,104,2,America,Australia,93,No,Eggs,Medium
Reptile,Alligator,16,145,America,India,37,No,Live,High
Fish,Pike,96,78,Australia,China,80,No,Live,High
Fish,Carp,95,113,Asia,Egypt,52,Yes,Eggs,Medium
Reptile,Tortoise,25,341,America,China,58,No,Live,Medium
Bird,Eagle,18,445,Africa,USA,20,Yes,Eggs,Critical
Fish,Trout,94,123,America,Germany,30,Yes,Eggs,High
Fish,Bass,49,86,Europe,USA,17,Yes,Live,Medium
Reptile,Gecko,61,322,Asia,Germany,86,Yes,Live,Low
Insect,Bee,33,27,Africa,Egypt,75,No,Eggs,Low
Bird,Owl,112,270,America,Russia,15,Yes,Live,Critical
Reptile,Gecko,37,44,Europe,Brazil,24,No,Eggs,Low
Fish,Catfish,21,219,Asia,Australia,24,No,Live,Medium
Mammal,Deer,113,202,Africa,China,68,Yes,Live,Medium
Mammal,Koala,48,467,Australia,Egypt,34,No,Eggs,Medium
Fish,Catfish,104,395,Asia,USA,36,Yes,Live,Critical
Reptile,Viper,80,50,Australia,Kenya,62,No,Live,Critical
Bird,Falcon,21,258,Asia,USA,46,No,Eggs,Low
Mammal,Monkey,93,248,Asia,Russia,31,Yes,Eggs,Low
Bird,Peacock,33,415,Asia,Germany,78,No,Eggs,High
Bird,Sparrow,37,228,Europe,Brazil,7,Yes,Eggs,Critical
Mammal,Jaguar,24,496,Australia,Canada,8,No,Live,Critical
Fish,Herring,73,124,Africa,USA,63,No,Eggs,Critical
Fish,Tuna,58,41,Europe,China,36,No,Eggs,Critical
Reptile,Cobra,24,164,America,Russia,83,No,Eggs,Low
Insect,Firefly,13,32,Asia,India,33,No,Live,Low
Reptile,Crocodile,26,400,Africa,Canada,50,Yes,Live,Medium
Fish,Trout,48,247,Europe,Russia,18,No,Live,Critical
Mammal,Panda,80,96,America,China,24,Yes,Eggs,Medium
Bird,Crow,61,274,Asia,Germany,19,Yes,Live,High
Insect,Flea,35,281,Europe,Russia,3,Yes,Eggs,Critical
Fish,Tilapia,116,466,Asia,India,85,No,Live,Low
Bird,Seagull,114,371,Africa,Canada,100,Yes,Eggs,Medium
Fish,Tuna,31,45,Australia,Russia,19,Yes,Eggs,Medium
Reptile,MonitorLizard,117,357,Australia,Canada,87,No,Eggs,Critical
Insect,Beetle,54,261,Asia,Canada,28,Yes,Eggs,Critical
Insect,Housefly,40,72,Australia,Brazil,33,No,Live,Low
Reptile,Viper,37,400,Australia,Russia,34,Yes,Live,Medium
Insect,Mosquito,60,201,Africa,Germany,37,No,Eggs,Low
Mammal,Rhino,67,65,Australia,Australia,21,No,Live,Critical
Mammal,Zebra,10,244,Australia,Kenya,48,No,Live,Critical
Mammal,Wolf,9,32,Asia,China,2,Yes,Eggs,High
Insect,Butterfly,107,22,America,Russia,59,Yes,Live,Critical
Insect,Mosquito,117,418,Africa,Australia,39,No,Eggs,Critical
Insect,Scorpion,101,248,Asia,India,12,No,Live,High
Insect,Firefly,29,7,America,Egypt,4,Yes,Live,High
Mammal,Monkey,28,468,Europe,Australia,20,Yes,Eggs,Low
Insect,Beetle,65,343,Australia,Egypt,78,Yes,Eggs,Critical
Insect,Caterpillar,49,463,Asia,Germany,35,Yes,Live,Low
Bird,Seagull,68,255,Europe,Germany,17,No,Live,Medium
Mammal,Wolf,78,230,America,India,70,Yes,Live,Low
Mammal,Otter,23,82,Asia,China,91,No,Live,Medium
Mammal,Rhino,52,148,America,Canada,30,Yes,Eggs,Critical
Fish,Pike,13,11,America,Brazil,4,Yes,Live,Critical
Fish,Shark,101,229,Asia,China,43,No,Eggs,High
Bird,Vulture,110,488,Australia,Kenya,61,Yes,Live,Critical
Fish,Cod,9,334,Africa,USA,16,No,Live,Medium
Fish,Anchovy,99,300,Europe,China,70,No,Eggs,Medium
Fish,Swordfish,81,320,Asia,Kenya,70,Yes,Live,Medium
Fish,Barracuda,54,63,Asia,Germany,62,Yes,Live,Medium
Bird,Woodpecker,109,165,Australia,India,15,Yes,Eggs,Critical
Reptile,Iguana,112,232,Asia,Brazil,10,Yes,Eggs,High
Fish,Herring,100,293,Africa,India,31,Yes,Live,Low
Bird,Turkey,71,406,Australia,India,14,No,Eggs,Low
Fish,Cod,8,58,America,Australia,57,Yes,Eggs,Medium
Bird,Duck,106,259,Europe,Canada,3,Yes,Eggs,Critical
Bird,Falcon,57,270,Africa,Egypt,100,Yes,Live,Low
Insect,Dragonfly,38,231,Europe,Brazil,11,Yes,Live,High
Reptile,Skink,75,161,America,Egypt,3,Yes,Eggs,Critical
Bird,Hawk,95,159,Europe,USA,66,No,Live,Low
Bird,Seagull,13,141,Europe,China,51,Yes,Eggs,High
Fish,Trout,109,105,Australia,Russia,67,Yes,Eggs,High
Reptile,Rattlesnake,83,4,America,India,53,Yes,Eggs,Low
Insect,Scorpion,81,356,Europe,Brazil,9,No,Eggs,Medium
Insect,Mosquito,113,45,Europe,Egypt,44,Yes,Live,Medium
Insect,Firefly,105,181,America,Egypt,52,Yes,Eggs,Low
Fish,Anchovy,39,441,Asia,Kenya,68,Yes,Live,Low
Reptile,Iguana,25,416,Africa,Canada,33,No,Live,High
Fish,Catfish,44,249,Australia,Canada,49,No,Eggs,Critical
Insect,Wasp,19,225,Africa,Brazil,5,Yes,Eggs,Critical
Insect,Horsefly,46,42,Asia,Brazil,88,No,Eggs,High
Mammal,Tiger,109,146,Australia,Germany,74,No,Eggs,Critical
Bird,Seagull,79,263,Australia,India,93,No,Eggs,Low
Reptile,MonitorLizard,13,487,Asia,Egypt,48,Yes,Live,Low
Bird,Vulture,66,97,America,Germany,35,No,Live,High
Fish,Pike,21,362,Asia,Egypt,13,Yes,Live,Low
Fish,Carp,14,447,Africa,Kenya,25,No,Live,High
Insect,Bee,99,319,Europe,Egypt,85,Yes,Eggs,Medium
Insect,Horsefly,18,339,Africa,Germany,28,Yes,Live,Medium
Insect,Cockroach,53,484,Africa,Germany,53,Yes,Eggs,High
Bird,Woodpecker,40,235,Australia,Kenya,12,Yes,Eggs,High
Fish,Barracuda,4,470,Asia,Australia,35,Yes,Live,Critical
Insect,Wasp,84,365,Europe,China,64,No,Live,Low
Fish,Salmon,20,110,Asia,Brazil,22,Yes,Eggs,Medium
Reptile,Python,37,338,Asia,Brazil,74,No,Live,Medium
Insect,Ladybug,42,306,Asia,Egypt,85,Yes,Live,Critical
Reptile,Boa,23,44,Africa,USA,30,Yes,Live,High
Mammal,Leopard,93,427,America,India,90,No,Eggs,Critical
Bird,Flamingo,36,201,Asia,Egypt,25,No,Eggs,Critical
Bird,Crow,57,377,Europe,Kenya,43,Yes,Eggs,High
Mammal,PolarBear,65,333,Africa,China,35,Yes,Live,Medium
Bird,Seagull,74,173,Europe,Kenya,47,No,Live,Critical
Mammal,Panda,52,381,Australia,Brazil,78,Yes,Live,Low
Insect,Firefly,38,305,Australia,India,32,No,Live,Critical
Bird,Penguin,119,15,Asia,Canada,21,Yes,Eggs,Medium
Mammal,Wolf,52,88,Africa,Russia,31,No,Live,High
Reptile,Alligator,16,484,Australia,Australia,28,Yes,Eggs,Medium
Fish,Anchovy,55,318,Asia,Canada,100,No,Eggs,Critical
Bird,Flamingo,106,5,America,Russia,28,Yes,Live,Medium
Reptile,Viper,77,37,America,Germany,94,Yes,Eggs,Medium
Fish,Pike,11,141,Africa,Canada,89,Yes,Live,Low
Insect,Termite,52,446,America,Canada,70,Yes,Eggs,Critical
Mammal,Kangaroo,50,395,Africa,USA,66,Yes,Live,High
Bird,Falcon,84,151,Australia,Kenya,41,No,Eggs,Low
Mammal,Giraffe,52,400,Australia,Kenya,9,Yes,Eggs,Medium
Bird,Peacock,27,373,Africa,Canada,54,No,Live,High
Insect,Scorpion,78,436,Europe,China,20,Yes,Live,High
Bird,Swan,97,162,Asia,Kenya,49,No,Eggs,Medium
Bird,Flamingo,3,2,Asia,Brazil,27,Yes,Live,Low
Reptile,Alligator,1,500,America,China,98,Yes,Live,High
Mammal,Cheetah,5,427,America,India,39,Yes,Live,Medium
Fish,Tuna,97,336,Africa,Kenya,70,No,Live,High
Reptile,Rattlesnake,100,204,Africa,Russia,46,Yes,Live,High
Mammal,Wolf,114,167,America,India,28,Yes,Live,Medium
Fish,Swordfish,76,370,Europe,Egypt,27,No,Live,High
Fish,Mackerel,4,51,Australia,USA,19,Yes,Live,Critical
Mammal,Otter,49,181,America,India,66,Yes,Eggs,Low
Insect,Flea,36,96,Asia,India,27,Yes,Live,High
Mammal,Leopard,114,115,America,Kenya,3,Yes,Live,Medium
Insect,Beetle,31,408,Europe,China,47,Yes,Eggs,High
Fish,Guppy,115,355,Australia,Egypt,56,No,Eggs,Medium
Mammal,Monkey,55,18,Australia,India,26,Yes,Live,Low
Bird,Hawk,7,140,Europe,India,76,No,Eggs,Low
Reptile,Iguana,23,53,Africa,USA,51,Yes,Live,Low
Reptile,Python,41,318,Europe,Brazil,9,No,Live,Low
Bird,Seagull,74,174,Asia,India,49,Yes,Live,Critical
Mammal,Bison,119,282,Europe,India,7,Yes,Live,Low
Insect,Mosquito,82,388,Africa,Germany,66,No,Live,Medium
Reptile,Gecko,59,476,Asia,Russia,65,Yes,Eggs,Medium
Insect,Dragonfly,90,402,Europe,Australia,15,Yes,Live,Low
Insect,Scorpion,87,161,Asia,Australia,30,No,Eggs,Medium
Bird,Woodpecker,35,3,America,USA,8,Yes,Eggs,High
Fish,Guppy,47,182,Africa,Germany,99,No,Live,Low
Fish,Anchovy,35,331,Australia,Egypt,99,Yes,Eggs,Critical
Fish,Trout,29,248,Africa,India,10,Yes,Eggs,Medium
Fish,Mackerel,72,253,Africa,Kenya,79,No,Eggs,Low
Mammal,Wolf,53,15,Asia,Egypt,34,Yes,Eggs,Critical
Reptile,Tortoise,3,381,Europe,Canada,61,No,Eggs,Critical
Mammal,Leopard,39,405,Asia,Germany,33,Yes,Eggs,Critical
Insect,Beetle,26,408,Africa,USA,4,No,Live,Critical
Bird,Parrot,89,127,Asia,Australia,48,Yes,Live,Critical
Fish,Salmon,105,131,Asia,Kenya,91,No,Live,Low
Bird,Swan,53,243,Asia,Egypt,95,No,Eggs,Critical
Mammal,Koala,27,105,America,USA,76,No,Live,High
Insect,Mosquito,57,479,America,Egypt,44,No,Eggs,High
Bird,Pigeon,53,426,America,Canada,9,Yes,Eggs,High
Mammal,Otter,11,481,Asia,India,35,Yes,Live,Medium
Fish,Tuna,45,71,Europe,Australia,84,No,Eggs,High
Reptile,Boa,58,93,Australia,Russia,89,Yes,Eggs,Medium
Reptile,Iguana,14,416,Africa,USA,28,Yes,Eggs,High
Reptile,Anaconda,89,146,Asia,India,40,Yes,Eggs,Medium
Insect,Wasp,78,56,Asia,Brazil,67,No,Eggs,Low
Bird,Hawk,90,423,Europe,Egypt,84,Yes,Eggs,Medium
Bird,Flamingo,40,10,America,Brazil,36,No,Eggs,Critical
Fish,Goldfish,18,158,Asia,Russia,10,Yes,Live,Critical
Mammal,Lion,59,356,Australia,Russia,43,Yes,Eggs,Critical
Mammal,Lion,44,64,Asia,China,27,No,Live,High
Fish,Pike,22,161,Asia,Egypt,18,No,Eggs,Low
Reptile,GilaMonster,16,494,Europe,Kenya,5,Yes,Live,Low
Bird,Falcon,26,97,Africa,Australia,5,No,Eggs,Medium
Bird,Goose,35,332,America,Brazil,13,Yes,Live,Medium
Reptile,Turtle,119,256,Europe,USA,28,Yes,Eggs,Medium
Fish,Sturgeon,53,201,Asia,Germany,29,No,Live,Low
Mammal,Zebra,89,100,Africa,Kenya,20,No,Live,Medium
Mammal,Elephant,36,325,Africa,Australia,54,No,Live,High
Mammal,Cheetah,51,164,America,Egypt,29,Yes,Live,Low
Reptile,Anaconda,80,73,Asia,China,100,Yes,Eggs,Critical
Bird,Crow,82,233,Africa,Egypt,73,No,Eggs,Medium
Reptile,Caiman,116,238,Europe,Russia,40,Yes,Live,Low
Bird,Vulture,110,301,America,Brazil,23,Yes,Eggs,Medium
Reptile,Rattlesnake,59,333,Asia,Brazil,59,Yes,Live,High
Insect,Dragonfly,33,394,Europe,Brazil,71,No,Eggs,Low
Bird,Falcon,60,162,Africa,Germany,59,Yes,Live,High
Bird,Pigeon,68,57,Africa,China,52,Yes,Live,Medium
Bird,Owl,88,210,Africa,China,36,Yes,Live,High
Fish,Guppy,89,420,Europe,Kenya,8,No,Eggs,Medium
Bird,Swan,21,158,Australia,Russia,29,Yes,Live,Low
Bird,Pigeon,63,314,Africa,Brazil,86,Yes,Live,Low
Insect,Grasshopper,75,482,Asia,Australia,63,Yes,Live,Critical
Bird,Eagle,60,257,Africa,Egypt,16,Yes,Eggs,High
Insect,Firefly,35,189,America,Germany,44,No,Live,Critical
Insect,Cricket,14,66,Africa,Egypt,16,Yes,Live,Low
Insect,Mosquito,26,168,America,USA,36,Yes,Live,Low
Reptile,Python,38,189,Africa,Brazil,62,Yes,Eggs,Low
Reptile,Python,30,191,America,Egypt,29,No,Live,Medium
Bird,Woodpecker,16,285,Europe,Canada,88,No,Live,High
Fish,Cod,68,208,Asia,Australia,44,No,Live,High
Bird,Turkey,63,457,America,Canada,21,No,Eggs,Critical
Insect,Flea,2,195,Africa,Russia,60,Yes,Eggs,Critical
Reptile,Iguana,56,349,Africa,Brazil,66,Yes,Live,Low
Mammal,Elephant,114,22,Africa,China,8,No,Live,Critical
Mammal,Horse,47,450,Africa,Australia,15,Yes,Live,Low
Reptile,Komodo,100,297,Australia,Germany,33,Yes,Live,Low
Fish,Tilapia,41,104,Asia,Germany,68,Yes,Live,Medium
Bird,Turkey,73,187,Asia,India,64,No,Live,High
Mammal,Otter,45,441,Africa,Australia,87,Yes,Live,Medium
Mammal,Monkey,90,222,America,China,21,Yes,Eggs,Medium
Mammal,Horse,14,320,Europe,Australia,23,Yes,Live,Critical
Insect,Mosquito,108,498,Africa,Egypt,96,Yes,Eggs,Critical
Mammal,Leopard,38,289,America,Russia,26,No,Live,High
Bird,Eagle,92,282,Australia,Kenya,56,No,Eggs,Critical
Reptile,Tortoise,61,329,Asia,Russia,44,No,Live,High
Reptile,Rattlesnake,28,288,America,Kenya,49,No,Eggs,Low
Insect,Scorpion,85,10,America,Kenya,15,Yes,Live,Low
Mammal,Leopard,87,445,Europe,Australia,11,Yes,Live,Low
Fish,Herring,107,195,America,Russia,76,No,Live,Low
Reptile,Tortoise,57,74,Australia,Australia,76,Yes,Live,High
Reptile,Viper,105,236,Asia,Canada,93,No,Live,Critical
Bird,Swan,52,44,Australia,China,6,No,Eggs,Low
Bird,Sparrow,35,137,Asia,Canada,51,Yes,Live,Critical
Bird,Turkey,20,214,Australia,Egypt,9,No,Live,Medium
Reptile,Crocodile,26,440,Africa,Brazil,49,Yes,Eggs,Critical
Insect,Firefly,58,452,Australia,Brazil,25,No,Eggs,High
Insect,Bee,38,452,Africa,China,4,No,Live,High
Reptile,Turtle,38,262,Asia,China,42,No,Live,Low
Reptile,Komodo,73,284,Europe,Russia,16,No,Live,Critical
